,4,7,label,drug_name,expression,Symptom ID,Negation flag
0,7691942,"cancer is lot for me right now.. cancer is a lot for me right now.. what happened is that my her <allcaps><number> status changed from her <allcaps><number>- to her <allcaps><number>+ and it likely means a lot more treatment than expected, but i won't know for sure until thursday. waiting for answers sucks!. today i retook my <user> ftp <allcaps> test to reset my power zones lower after cancer treatment and it wasn't even my worst one! feeling pretty great. thank you <user>! also, i passed <number> total workouts! <url>. i am still struggling with my surgery decision. the problem is that when i had my sentinel node biopsy (snb <allcaps>), i had <number> of <number> positive lymph nodes. standard of care calls for an anld <allcaps> surgery with a high risk of lymphedema. <hashtag> bcsm. the problem is that when i discuss the decision with anyone that knows anything about breast cancer (meaning my care team and other cancer patients), they think that i should get the surgery, because it is standard of care.. my cancer is her <allcaps><number>+ now, which means i have a year of herceptin ahead of me. is herceptin effective enough that the surgery isn't necessary? i still have almost a month before surgery, so i get to continue contemplating this for a few more weeks.. i feel like i am never going to be confident in this decision, no matter what i choose to do. i obviously don't want cancer, but i also would like to keep my lymph nodes. i'm really scared of lymphedema.. oh gosh, no <allcaps>. what a ridiculously terrible idea.",1,"Herceptin,Herceptin","herceptin,herceptin",$$$C0000016$$$,$$$0$$$
1,10000772,"<user> me, this morning in the chicago metro. first dose. 🎉i’m a recent cancer survivor so i’m in the most recent cohort here. <url>. <user> by this logic, i’d like him to explain my having had cancer twice. if god doesn’t err. because my cells had their own ideas, apparently.. <user> she’s that person who tells cancer patients to just take vitamin c infusions, too, isn’t she. <user> was diag. with cancer april <number> spent balance of year undergoing surgery / chemo—see pic. cautiously ‘no evidence of disease’ now, with frequent scans / oncologist visits going forward. beans was my beautiful, strong cancer role-model and my heart breaks for your loss. <hashtag> teambeans <url>. <user> “your pathology report is back and you indeed have a malignancy but before starting treatment please detail exactly how your specific chemotherapy drug acts on your specific cancer type”. <user> <user> i took tamoxifen for <number> years as a preventative against a recurrence of the breast cancer i was treated for (—surgery and chemo—)in <number> 
look at this: <url>. <user> <user> would you like me to really shoot your point off the rails right into the sun? i can discuss cancer, my various chemotherapy and immunotherapy drugs, their costs, the risks incurred, scans and tests and. <repeat>wait what were you talking about again?",1,Tamoxifen,tamoxifen,$$$$$$,$$$$$$
2,10139082,"<user> i’m an active cancer patient and still don’t qualify for the vaccine in wa <allcaps>. we aren’t doing this right.. <user> <user> thank you! i have stage iv <allcaps> breast cancer, there is no cure. but i’ve survived on chemotherapy for <number> years now. we need the vaccine! i don’t know why they aren’t considering a lowered immune system from cancer treatment a qualifier for the vaccine. hope you can get it soon, too.. <user> <user> nope. active cancer patients are in the next tier, i think? i’m trying to be patient, but it’s difficult! <repeat>. <user> <user> yes, the cancer can mutate over time as it tries to find other pathways to grow. i have mine checked with a biopsy every few years. nothing has been a major change for me. remember that tumor markers are not good indicators for every patient. some docs don’t even look at them.. <user> damn. similar to my experience. no actionable mutations, one genetic variant similar to braca <allcaps> but it’s an unknown. no hormonal treatments have ever worked for my er <allcaps> / pr <allcaps>+ cancer. but thankfully a few chemos have kicked ass and i’ve gotten a lot of time.. <user> taxol, taxotere, xeloda, tdm <allcaps><number> doxil gave me the most time. i’ve done <number> total chemos and tried <number><number> hormonal treatments like tamoxifen, faslodex, etc. those have always been a waste. i tried bicalutamide, an anti-androgen,but with navelbine, so hard to say which was helping.. <user> my cancer is her<number>+. just not hr <allcaps>+. i’ve been on herceptin or perjeta with most of the chemos. current treatment, enhertu, is targeted drug that delivers chemo right into her<number>+ cell like kadcycla. also did margetuximab, which works in a similar way.. <user> no, please! i’m a cancer patient, living alone and quite isolated— pandemic hasn’t changed my daily life. i fear family and friends will all drop social media and i will lose the main way i have to connect with them. know lots of disabled folks who fear the same. don’t forget us!",1,"Taxotere,Xeloda,Tamoxifen,Faslodex,Herceptin,Perjeta,Enhertu,Kadcyla","taxotere,xeloda,tamoxifen,faslodex,herceptin,perjeta,enhertu,kadcycla",$$$C0015967$$$,$$$0$$$
3,15964434,"<user> oh, interesting. mine was for breast cancer. maybe it depends on where they were pointing the machine?. let’s write a poem about tamoxifen. who can start? i can’t start.. <user> i recognized i was having suicidal feelings while on tamoxifen so i stopped it <number> years ago. my new oncologist urged me to try it again today, and i’m thinking about it, considering my risk.",1,"Tamoxifen,Tamoxifen","tamoxifen,tamoxifen",$$$C0000012$$$,$$$0$$$
4,17590445,"six years of metastatic breast cancer &amp; my path <url>. <hashtag> bcsm <hashtag> metaststicbreastcancer <hashtag> cancerversary number six - and a lot is at stake this year. i’m still <hashtag> hopeful and still <hashtag> grateful <hashtag> stage<number>needsmore <hashtag> terminalcancer <hashtag> chemotherapy <hashtag> mbc <hashtag> piqray <hashtag> taxol <hashtag> genetics <url>. <user> not sure will know today seeing oncologist at uc <allcaps> davis today on my six year stupid <hashtag> cancerversary <hashtag> fuckcancer <hashtag> bcsm. say happy <hashtag> cancerversary <number> years today. it’s the day we never forget our lives changed indelibly &amp; forever. a day that i don’t know if i should laugh or cry or both. i can’t feel like celebrating. seeing my onc. <hashtag> metastaticbreastcancer <hashtag> busylivingwithmets <hashtag> stage<number>needsmore <hashtag> bcsm. what’s in your med bag?
<hashtag> busylivingwithmets <hashtag> stage<number>needsmore <hashtag> bcsm <hashtag> metastaticbreastcancer <url>. <hashtag> bcsm # grateful for their awesome teaming  <user> &amp; <user> docs worked together to come up with a good short &amp; long term strategy for my <hashtag> metastaticbreastcancer be <allcaps> your <allcaps> own <allcaps> best <allcaps> advocate <allcaps> &amp; ask <allcaps> for <allcaps> what <allcaps> you <allcaps> want <allcaps>: fear of knowing should never outweigh the benefits. <number> / <number> of getting the best possible care for the best possible outcomes. my liver mets are likely a shadow of cells in the ascites caused by lymph nodes caused by radiation- whack a mole! time to whack out the fluid from my abdomen &amp; legs new meds: <user> &amp; aromasin w /  xgeva. <user> the gift of living a life of relatively moderate cancer impact is all i can ask for. another day to rise up, share my experiences, be of service to others &amp; to learn from &amp; lean on my tribe is a great day. ❤️ <url>. <user> extensive prework done by my oncs at <number> great cancer centers have my back &amp; on top of my health from uc <allcaps> davis &amp; stanford piqray &amp; aromasin + xgeva  blood sugar ✅weekly &amp; pariocentesis tues. i live to see another protocol - stable &amp; unremarkable pet scan no liver mets yes ascites. <user> oh my lord. i’m so saddened by this news. if the current pandemic wasn’t so immediate i wonder what r&amp<smile> could truly be put towards <hashtag> stage<number> cancers? the quick response to <hashtag>  c o v i d<number> should say something to all of us because <hashtag> cancer is a <hashtag> pandemic too. <number> will be dx in their lives.. latest treatment options in hr <allcaps>+ / her <allcaps><number>- advanced breast cancer <number> / <number> great overview <hashtag> stage<number>needsmore <hashtag> bcsm <hashtag> metastaticbreastcancer  <url>. <user> i’m so with you there with significantly worse pain from ascites making it hard to eat, sit, stand, laugh without leaking, sleep, fit into my clothes and poo. so yeah, maybe? my arm hurt a little. there’s a great video re <allcaps>: j&amp;j vax is preferable for <hashtag> breastcancer check my feed.. <user> <user> truly it’s with sadness and anger. if we’ve learnt anything from this pandemic besides the politicization of disease is possible that it’s also possible for global health crises, which cancers are, to bring new meds to market within months. let’s wash rinse repeat with <hashtag> mbc <hashtag> bcsm. <user> <user> oh holy cow. in tears. i remember her and i’m so so so sad. another immediate reason to demand more resources on <hashtag> metastaticbreastcancer now. not a year not a month not another death away but now. <hashtag> fuckcancer <hashtag> bcsm even isolating us cannot quiet our voices or pain.. the cancer car<smile> membership has its perks! <url>. <user> i go there then just stop trying to keep my fingers from doing the cursing and let that bitterness out - i adore “be the best aunt” and “volunteer with kids” umm no. how about i’m just as good with or without and i feel myself grateful for sparing the <number> who never were my cancer.. of course running slightly behind for my ascites draining - whenever my nerves get going so does everything in my body. i slept through <number> alarms &amp; fall asleep in the tub.  <hashtag> busylivingwithmets <hashtag> metastaticbreastcancer <hashtag> bcsm but i’m not missing getting <number> liters out of my  tummy!. and i thank heaven every day for my life, for my friends and this could be a lot worse. i also pick up my <user> today with aromasin. anyone have advice for me besides watch my blood sugar? <hashtag> bcsm <hashtag> metastaticbreastcancer. <user> <user> oh my she is beautiful forever but shouldn’t have had to die. i’m so sorry my heart aches for you &amp; my tears of sadness for anyone who has to lose a loved one to cancer - it’s a <hashtag> pandemic that deserves the attention that covid gets. <hashtag> stage<number>needsmore. to them”you stay  positive!” from the reception desk resplendent w / bunny decor i responded “i can be a big asshole but resilience, humor &amp; hope kept me alive for <number> yrs” reply “but stay positive!” okay, will do. it’s about my paracentesis today anyway. <hashtag> bcsm <hashtag> mbc <hashtag> stage<number>needsmore <url>. why does this anger me so much? after hospital stays on the cancer floor w /  <number><number> legs poking out of the curtains next to me, all secret english speakers w /  translators. always cryers, moaners, whiners. try to poop to go home w /  <number> people in your room <hashtag> bcsm <hashtag> stage<number>needsmore. new machine for <hashtag> periocentesis helps to evacuate <hashtag> ascites. i love the <hashtag> intervebtionalradiology team <user> they’re awesome &amp; treat me as an intelligent form of life. <hashtag> bcsm <hashtag> metastaticbreastcancer up to <number> liters now i bet <number> shipped nyc <allcaps> bagels as reward &amp; i’m hungry now too! <url>. <user> <user> much <hashtag> gratitude to you! i write for life: <number>st poem a gift to mom from <number> at <number> yrs, dad had left her &amp; i watched him go from the <number>th floor &amp; leave his footprints in the snow. <hashtag> writerscommunity <hashtag> poetrymonth <hashtag> poetrycommunity <hashtag> metastaticbreastcancer <hashtag> bcsm <hashtag> breastcancer <hashtag> poetryblog. <user> <user> i’m so glad you’re writing your experience- it truly heals the seif and helps others know they’re not alone. no. <number> comment on my blog - gratitude for writing what they couldn’t express. <hashtag> writerscommunity <hashtag>  breast cancer awareness <hashtag> bcsm can’t wait to read!. <hashtag> poetry and i go way back: <hashtag> therapy for my soul &amp; mind it’s a friend when i am full or drained, sad or elated. it listens &amp; reflects back exactly what weighs on my heart. <hashtag> breastcancer <hashtag> writingcommunity <hashtag> poetrycommunity <hashtag> metastaticbreastcancer <hashtag> bcsm <url>. <hashtag> hope brings me back from the brink with <hashtag> love and friendship and <hashtag> poetry <hashtag> metastaticbreastcancer can rip me to shreds; some days are just too much to bear witness. <hashtag> bcsm <hashtag> writerscommunity <hashtag> poetscommunity <hashtag> fuckcancer <hashtag> stage<number>needsmore  <url>. nice morning in bath <hashtag>  insomnia &amp; i had wrestled enough. plop goes the new ipad. hero downstairs blow drying now. i had a tantrum. too much on my plate: lab tests &amp; high blood sugar &amp; <hashtag> lymphedema clinic &amp;  zoom  calls  &amp; <hashtag> fuckcancer  fml   &amp; enough please. done whining <hashtag> bcsm <hashtag> mbc. <user> it’s so vaguely weird, intent gets lost in the word “cancer.” it looks like a shampoo ad that from a car no one would have a clue what this even means. bad ad. offensive messaging &amp; not effective but to piss off a few people who might see it. glad it’s not up. 🤮",1,"Piqray,Aromasin,Piqray,Aromasin,Aromasin","piqray,aromasin,piqray,aromasin,aromasin",$$$C0037383$$$C0037383$$$C0741585$$$C0741585$$$C0741585$$$C0023380$$$C0917801$$$,$$$0$$$0$$$0$$$0$$$0$$$0$$$0$$$
5,17897383,"after the baby powder causing cancer i don’t think johnson &amp; johnson can afford to ignore how it’s vaccine reacts in persons who menstruate. i can’t really drink post treatment. especially on tamoxifen. one nip and i’m sweating like i fuckin stole something. and my 🍃 lady went and found god and a new job. so i’m just like raw dogging life, sober, and i gotta say, <number> / <number> do not recommend.",1,Tamoxifen,tamoxifen,$$$C0020458$$$,$$$0$$$
6,18051101,"<user> i'm not cancer free yet. but i'm not sure they have a bell at that facility.i certainly never heard it.. <user> i just picked up anastrozole today, to start on april  <number> not looking forward to it at all.. and he already cost more at the vet this month than <number>+ months of cancer surgery, radiation, and tests (out of pocket and co-pays) but only because i have great insurance and peat does not. dude needs a more generous employer.  we go back next wed for recheck. <url>. <user> it wouldn't be my turn either but yay cancer!. <user> <user> i had all these great plans to really master my ukulele this pandemic but then <number> months into the pandemic,  i got cancer on my right side so i didn’t learn but i am finally healing so would love to know some online resources. so <allcaps> i will <allcaps> listen <allcaps> is <allcaps> what <allcaps> i am <allcaps> saying <allcaps>, pam <allcaps>!. <user> i got the pfizer and was just super sleepy that day. took a <number> hour nap. then nothing! perfectly fine and as you might know, i have cancer so i wasn't sure what to expect. sunday i get the <number>nd jab.. <user> worry about cancer. i’m gonna be fine. xoxo. <user> <user> i just made really good meatballs to send over to one of ben’s colleagues who has worse cancer than i have. i am <hashtag>  team meatball!. ok i am officially on my new cancer meds so if i go radio silent after tonight you know i didn't handle them well. <url>. <user> cancer is treatable. not so sure about trumpism. just finished radiation myself; tuck the stockdale paradox in your pocket and lfg <allcaps>. big hug.. <user> he’s been treating me for cancer. i am not sure this special diet of wet fud and spaghetti is really gonna do it, but i am willing to try it.. <user> i hear that. i have cancer, and i should have known not to ask. i'll just send pics. <url>",1,Anastrozole,anastrozole,$$$C1832070$$$,$$$0$$$
7,18446246,"<user> yep. i have metastatic breast cancer. i eat well and get plenty of exercise. i don't smoke or drink heavily. i still have metastatic breast cancer. it's stable thanks to palbocyclib and letrozole. not exercise.. <user> <user> poverty. it meant it took me more than a decade longer than it had to. and to top it off, i had my full registration as a psychologist for less than a year before being diagnosed with metastatic breast cancer and told i was doing to die.",1,"Palbociclib,Letrozole","palbocyclib,letrozole",$$$$$$,$$$$$$
8,19381883,"<user> <user> as a woman on tamoxifen (estrogen hormone blocker), i would love to have more information on this. tamoxifen can cause blood clots as well. an interview would be helpful! thank you both for your insight! 🙏",1,"Tamoxifen,Tamoxifen","tamoxifen,tamoxifen",$$$C0000015$$$,$$$0$$$
9,19901823,"<user> that's pretty much me too! never great, but it's been very variable since chemo induced menopause. now with anastrozole and a pandemic i'm struggling to sleep. which has knock on effects for my work, my studies and my wellbeing! i can't even have  hrt   <hashtag> menopause <hashtag> mentalhealth",1,Anastrozole,anastrozole,$$$C0000013$$$C0000013$$$C1832070$$$,$$$0$$$0$$$0$$$
